before;after;;;
cantiik2;cantik cantik;;;
cantiikk;cantik;;;
cantiikkkk;cantik;;;
cantik2;cantik cantik;;;
cantik2nya;cantik cantiknya;;;
cantika;cantik;;;
cantikk;cantik;;;
cantikkk;cantik;;;
cantikkkk;cantik;;;
cantikkkkk;cantik;;;
cantikkkkkk;cantik;;;
cantikkkkkkkk;cantik;;;
cantikkkm;cantik;;;
cantiknnnnyaaaaaaa;cantiknya;;;
cantiknyaa;cantiknya;;;
cantiknyaaa;cantiknya;;;
cantiknyaaaaa;cantiknya;;;
cantiks;cantik;;;
cantikx;cantiknya;;;
cantinya;cantiknya;;;
cantip;cantik;;;
cantiqs;cantik;;;
cantix;cantik;;;
cantk;cantik;;;
canttikkk;cantik;;;
canttttikkk;cantik;;;
canyk;cantik;;;
capa;sapa;;;
cape;capek;;;
capee;cape;;;
caranga;caranya;;;
care;perawatan;;;
cari2;cari cari;;;
cariin;carikan;;;
catiiiiik;cantik;;;
catokin;catok;;;
caya;percaya;;;
cb;coba;;;
cba;coba;;;
ccok;cocok;;;
ccok;cocok;;;
cd;celana dalam;;;
cece;cici;;;
ceemen;cemen;;;
cek2;cek cek;;;
ceklist;ceklis;;;
cekout;check out;;;
cem;macam;;;
cemburuu;cemburu;;;
cempreeng;cempreng;;;
centillll;centil;;;
centilnyaaaaaa;centilnya;;;
cepet;cepat;;;
cepet2;cepat cepat;;;
cepetan;cepatan;;;
cerdass;cerdas;;;
cerdiik;cerdik;;;
ceritanye;ceritanya;;;
ceritax;ceritanya;;;
ceunahh;katanya;;;
cew;cewek;;;
cew;cewek;;;
cewe;cewek;;;
cewer;jewer;;;
cf;commercial film;;;
checkout;check out;;;
chelalyyu;selalu;;;
chetapil;cetaphil;;;
choker2;choker choker;;;
ci;cici;;;
ciapa;siapa;;;
cicii;cici;;;
ciee;cie;;;
cieee;cie;;;
cieeee;cie;;;
cieeeee;cie;;;
ciieeeeeee;cie;;;
ciih;cih;;;
ciiieee;cie;;;
cinggirnyaaaa;cinggirnya;;;
cini;sini;;;
cino;cina;;;
cintaaaaa;cinta;;;
cintaaaaaaa;cinta;;;
cintax;cintanya;;;
ciptain;ciptakan;;;
ciptain;menciptakan;;;
cita2;cita cita;;;
cita2;cita cita;;;
ciumman;ciuman;;;
ciusss;serius;;;
ciuuuummmm;cium;;;
ciyeeee;cie;;;
ciyeeeeeee;cie;;;
ciyusss;serius;;;
ckp;cukup;;;
ckrng;sekarang;;;
ckup;cukup;;;
class;kelas;;;
cluenya;tandanya;;;
cm;hanya;;;
cma;hanya;;;
cman;hanya;;;
cmiiw;correct me if i wrong;;;
cmkn;camkan;;;
cmn;hanya;;;
cmpur;campur;;;
cntiiikkk;cantik;;;
cntik;cantik;;;
cntikan;cantikan;;;
cntikk;cantik;;;
cntiknya;cantiknya;;;
cntk;cantik;;;
co;cowok;;;
co;check out;;;
cobaa;coba;;;
cobaaa;coba;;;
cobaaaa;coba;;;
cobain;coba;;;
cobak;coba;;;
coccokk;cocok;;;
cock;cocok;;;
cocokk;cocok;;;
cocokkk;cocok;;;
cocokkkk;cocok;;;
cocokkkkk;cocok;;;
cocokny;cocoknya;;;
cocokx;cocoknya;;;
cocook;cocok;;;
cocookk;cocok;;;
coeggg;coeg;;;
cogan;cowok ganteng;;;
cokkkkkk;sialan;;;
colab;kolaborasi;;;
coleb;kolaborasi;;;
collab;kolaborasi;;;
collabs;kolaborasi;;;
comen;komentar;;;
comen2nya;komen komennya;;;
coment;komen;;;
coment;komentar;;;
comment2nya;komentar komentarnya;;;
commercial;komersial;;;
comnet;komen;;;
comntr;komentar;;;
congrats;selamat;;;
cooocok;cocok;;;
cooooooocok;cocok;;;
"coret\\""""";coret coret;;;
correct;benar;;;
couplean;pasangan;;;
cow;cowok;;;
cowo;cowok;;;
coxok;cocok;;;
coy;guys;;;
coyyy;coy;;;
cpa;siapa;;;
cpet;cepat;;;
cpit;sipit;;;
cpt;cepat;;;
cr;cara;;;
cri;cari;;;
critamu;ceritamu;;;
critanya;ceritanya;;;
crying;menangis;;;
cuaaantikk;cantik;;;
cuaantik;cantik;;;
cuan;untung;;;
cuantek;cantik;;;
cuanti;cantik;;;
cuantik;cantik;;;
cuantikkk;cantik;;;
cubanget;lucu banget;;;
cuchook;cocok;;;
cuco;cocok;;;
cucok;cocok;;;
cucokkk;cocok;;;
cukurrr;cukur;;;
cumn;hanya;;;
cums;hanya;;;
curhat;curahan hati;;;
curhat2;curhat curhat;;;
cuuy;guys;;;
cuy;guys;;;
cuyy;cuy;;;
cuyyy;cuy;;;
cw;cewek;;;
cw;cewek;;;
cwe;cewek;;;
cwek;cewek;;;
cwnya;ceweknya;;;
cwo;cowok;;;
cwok;cowok;;;
cyiiin;cinta;;;
cyin;cinta;;;
d;ada;;;
d.apa;diapa;;;
d.bikinin;dibikin;;;
da;sudah;;;
daaaah;deh;;;
daaah;dah;;;
daah;dah;;;
daebak;keren;;;
daebakk;keren;;;
daedandaedan;gila;;;
dah;deh;;;
dahh;dah;;;
dahhhh;dah;;;
dak;indak;;;
dalem;dalam;;;
dalem2;dalam dalam;;;
